Global Rank,Channel ID,Channel Name,Subscribers,Total Views,Total Videos,Country,Description,Views_por_Inscrito
2153,UCvKiJlAbb2MJlZ88frkGGvA,Mary Play,281000,51249766,216,BR,"Clica e Segue o WhatSapp da Mary 👇👇👇  Jogando Roblox de uma forma super divertida! 🎮✨  Sou a Mary e este é o canal Mary Play! Aqui, vamos explorar o Roblox e nos aventurar em vários mapas incríveis, como Brookhaven, Adopt Me!, Blox Fruits, Pet Simulator, Murder Mystery 2, Round 6 e muitos outros!  Se você ama Roblox, encontrou o canal certo! Tenho certeza de que vamos curtir momentos incríveis jun",182.38350889679717
2169,UCYR8hAmD46MI9YyCBjrUAsw,Athos TV,275000,66618606,305,BR,Canal de TV do Athos,242.24947636363638
2185,UCbI8oiCdgXdWpG86ab35zlA,ÉoDan,269000,88105561,205,BR,Artista: ÉoDan Instagram: @danperezoficial  Fique por dentro para saber quando os lançamentos irão sair!!     ,327.5299665427509
2292,UCxHxyJs6YYPIrF0mB6xkHcA,Revelação na Favela,225000,33090391,1321,BR,"Revelação na Favela, é um Canal de conteúdo de periferia do Brasil, Onde Iremos Mostrar Novos Artistas e Novos Contéudos.  Canal criado e administrado por Love Funk  ©2020/2026 LOVE FUNK ",147.06840444444444
2371,UC6r1LcZuTYSFjPud1AOWbCA,Yaszoca TV,200000,27628674,148,BR,"Oie, aqui nesse canal você assiste filmes de vídeos longos! Principalmente RP de BROOKHAVEN. Eu vou amar vocês aqui, se inscrevam ❤  FILMES: SEGUNDA A SEXTA 11:00 ❤  ✿ Nick ROBLOX:  Yaxzoca  Se inscreva! Sejam bem-vindos ao meu mundo de diversão!  Contato:  ✿ yasmimejanatha@gmail.com ",138.14337
2405,UCI-BWrwM0cgmA0muMz-81fg,porkinbrSEGUNDO,190000,27633105,87,BR,🛒 COMPRE OS NOVOS BONECOS PORKINBR:  https://boxsugar.com.br/porkinbr ,145.4373947368421
2434,UCsPnsc1BUqa4LgLeyr1tp7A,Sertanejo Show 2,182000,14028680,65,BR,"Sertanejo Show 2 é um canal de música para os amantes da música de Amado Batista, Eduardo Costa,...  Explore música através de vídeos de alta qualidade. O canal oferece diversas playlists, proporcionando uma experiência musical portuguesa única.  Obrigado por assistir!!! Por favor, CURTA - INSCREVA-SE - COMPARTILHE este vídeo para ajudar o canal a crescer e haverá MUITAS playlists, vídeos novos e ",77.08065934065934
2452,UCO8wTrnhGkcEhDAhVNB3-ag,PedroTm CR,177000,34863058,1654,BR,"Fala galera, Pedro Elias aqui, ou PedroTm. Sou jogador profissional de clash royale e gosto de criar conteúdo mais voltado para dicas e diversão. Lives todos os dias por volta das 20h30.  Business: ventexmng@gmail.com  Meus recordes: Top 1 do mundo/3900+ Troféus METAS:  █ 1.000 Inscritos - ✔️ 03/11/2021 ██ 10.000 Inscritos - ✔️ 17/12/2021 ███  20.000 Inscritos  ✔️ 24/01/2022 ████ 30. 000 Inscritos",196.96642937853107
2494,UCyQWWuguQiUX2Yo5AN-ZuzA,DIAMANTE HITS,164000,76239390,1135,BR,Aqui você encontrará o melhor da música do Brasil. Fique por dentro de todos os principais lançamentos!  ★ Somos um canal de divulgação ★ Deseja retirar algum conteúdo de nosso canal? Envie e-mail para: lovefunkhenrique@gmail.com ou 11945040202 que retiraremos imediatamente!  Produtora da Love Funk Produtora / Todos os direitos reservados  ©2023--2024 LOVE FUNK ®  ,464.8743292682927
2522,UCgJTaXhvsiWD7VeXFEpQlZg,Pimgo Joga,159000,28187673,77,BR,meu canal de jogos IHUUUUUUUUUUUUU,177.28096226415093
2557,UCvBMnE6VP24HMHvTWM5iGkg,Xey Blox,148000,24804759,241,BR,Eu adoro jogar Roblox com a Família Creeper.  ,167.59972297297298
2567,UCOt3zeELnGIKK37mvsZzjmg,Sonic e Amy,147000,16887993,118,BR,💙🩷Se Inscrevam para Mais Videos!🩷💙   Gameplays e Videos de Roblox com Sonic e Amy! ,114.88430612244898
2595,UCJcPFIWBdvfsgYDBnb-SklQ,Chantilly,140000,45495468,1102,BR,"Orgulhe-se, Você é Forte ✌  Grupo do Discord: https://discord.gg/McUUeraPCe 🤖  Grupo do Roblox: https://www.roblox.com/groups/34684049/Cafofo-do-Chantilly#!/about 🥼  Perfil do Roblox: https://www.roblox.com/users/3254043654/profile 🙍‍♂️ ",324.9676285714286
2598,UCNMCjYQ1VaftIzHaXRggmgA,DaviBlox,139000,15589822,39,BR,,112.1569928057554
2642,UC5WBEtv44oZilc6ADLbj8JA,Boi-Bumbá Garantido,130000,74949015,566,BR,"O Boi-Bumbá Garantido é uma das duas Associações Folclóricas que disputam o Festival Folclórico de Parintins, no Amazonas. Criado pelo mestre popular e pescador Lindolfo Monteverde, ainda no início do século passado, o Boi Garantido era uma brincadeira de criança que evoluiu com o tempo. Seu criador era descendente negros maranhenses, nascido no Quilombo da Baixa da Xanda, uma comunidade de pescad",576.5308846153846
2652,UCOjrsfP2RfohcVAKWNhhsrg, Top Católicas Canções ,128000,8522567,105,BR,"🙏 A paz do Senhor Jesus, amados irmãos! Que Deus nos cubra com Sua graça, ilumine nosso caminho e nos proteja de todo mal. Amém !❤️❤️❤️ ",66.5825546875
2688,UC7not9uJn5PYoq4hFKBFu7g,OTÁVIO GAMER FELIX,120000,13634909,1127,BR,"Aqui nesse canal faço shorts e live todo dia, espero q goste dos meus conteúdos. Se inscreva, deixe like nos meus vídeos, e ative o sininho pra não perderem nenhuma notificação do meu canal  aniversário: 23/07",113.62424166666666
2692,UCjc7ks4JaGGdUu4nsM7xWAQ,Pitaya,119000,13907473,174,BR,"Oii! Sejam Bem vindos, eu sou a Pitaya! Jogo jogos do Roblox! E faço lives  Robux Barato  Use meu CUPOM  ""pitaya"" para economizar. Robux na sua conta entre 4 ou 5 dias https://discord.com/invite/bUnnQ6yvtU   TikTok: https://www.tiktok.com/@pitaayzz  Para jogar comigo Me Segue no Roblox https://www.roblox.com/pt/users/946448557/profile  Comunidade no Roblox https://www.roblox.com/pt/communities/351",116.86952100840337
2697,UC6qSiLhIBd50QY3HtPXh2CQ,Cachorro1337 2,118000,98006155,858,BR,"Contato comercial / Business contact:  • contato@cachorro1337.com  Neste canal, você encontra cortes relacionados a Counter-Strike 2.  ",830.5606355932204
2759,UCWzyOrX1MaC0FbTFWsPmMaA,Asaph Borba,106000,22193039,358,BR,"Asaph Borba é um músico e ministro de adoração brasileiro que por muitos anos tem ministrado por todo o Brasil e outros países em encontros de louvor e em igrejas das mais diferentes denominações, gravando os cânticos que lhe foram dados por Deus, que se tornaram parte da hinologia cristã nacional, entre eles, Jesus em Tua Presença, Minh’alma Engrandece, Alto Preço, O meu Louvor é Fruto, Infinitam",209.3682924528302
2821,UC0ytycUjDnncLMWmfaArkxQ,Hurtig TV,92000,18266857,269,BR,"Cortes e melhores momentos do Hurtig OFICIAL Compre Boneco Hurtig, na minha Loja: https://boxsugar.com.br/produto/boneco-hurtig/ Contato Comercial: Contatohurtig@gmail.com ",198.55279347826087
2825,UCMIRwo9zbgbEt37e8faJ2Mw,Tati TV,91600,4046325,31,BR,,44.17385371179039
2942,UCQPaSBaTONuIcSzb-CE3dyQ,tvPH,69400,11246999,753,BR,Entendendo e discutindo videogames com o PH.,162.06050432276658
2945,UCTschA5kIt5X7G_dtD_4-4Q,The Owner DJ,68800,23965894,575,BR," Hello friends. Welcome to the our Channel. Music speaks to the soul, warms the imagination, relaxes and brings an unparalleled vibration and well-being. We bring you the best combined sounds. Just click play and savor each note, take a deep breath and surrender to beautiful moments with yourself. Much Light and Peace to all. Subscribe, like and share. That way we can reach everyone. God bless you",348.34148255813955
2976,UCvP1NOdaeVIHL-4_BP8DRqQ,oSchaw,64800,11618736,254,BR,Olá eu sou o Schaw 👋🏻   📗Contato: oschawcontact@gmail.com 📗 _____________________________________________   #roblox ,179.3014814814815
2982,UCqZCwLSY_kuBPZ6fQ7u4inw,MENOR KS,63800,24826024,844,BR,"MENOR KS é um canal parceiro da Love Funk Produtora, que tem autorização para lançar Músicas dos Artistas que fazem parte da Empresa.  Aqui você fica 100% atualizado de todas as músicas que saem nesse ritmo que sintoniza nos 4 cantos do estado !  ©2025 MENOR KS ® Ltda. ",389.12263322884013
3066,UCLI535PVS2VMbTimdJfFM2g,The Radioativo LoL,51900,33737707,2828,BR,"The Radioativo League Of Legends, trazemos notícias sobre o MOBA da riot games, o league of legends, aqui você vai acompanhar clipes e trechos de reportagens sobre o LoL, CBLOL, e muito mais...  📢Quer falar comigo ? Entre nas redes sociais do canal 🡇  ✩instagram: https://www.instagram.com/theradioativo/ ✩Discord: https://discord.gg/GP9asqh ✩App: https://bit.ly/TheRadioativo-APP ✩Site: https://ther",650.0521579961464
3073,UCcrNJVXTWP8_LNgAZ-x75rQ,Melodia de Musicas Catolicas,51200,7954517,89,BR,,155.36166015625
3088,UCIh2w1pOg-k5z1utjB-IKuQ,BNG QueenMc,49300,23546291,54,BR,"Hello, Welcome to my channel BNG QueenMc My names is Kelly. I am the author of the BNG QueenMc channel and this is my fourth channel. On this channel I actively publish very interesting and very cool videos prepared by me personally in the game ""BeamNG Drive"" It is prohibited to copy my videos and publish them on your channel.  My NEW computer specs (2023): ◾intel Core i7-13700 ◾Gigabyte GeForce R",477.6123935091278
3097,UC9EU2jsdtQogOhMaLqVFcMQ,Lucas A.R.T.,48500,2986723,182,BR,O cara lá do 7 Minutoz,61.58191752577319
3111,UCYV4rHozQESWi5ofT0WS6lg,ruslan6x,47000,25185728,106,BR,I love to entertain. Subscribe!  FOR BUSINESS INQUIRY 📩: ruslan6x.contact@gmail.com ,535.8665531914894
3175,UCWI17es0LjwweCnLuftTh8g,CatLan,38800,10289573,115,BR,,265.19518041237114
3381,UCe6KbYWRz7auuOgG7-r_s2A,RAULS A NATA,17800,5448976,216,BR,"Seja bem-vindo ao nosso mundo! 💎 No Rauls A Nata, a gente não posta apenas música; a gente entrega o estilo de vida e a evolução do Funk Brasileiro. Se é relíquia, se é hit ou se é o próximo hino das ruas, você encontra aqui primeiro.  Email para contatos e parcerias: raulsanataoficial@gmail.com  Conteúdo autorizado em parceria com as produtoras: Gr6 Nova Era, 4M Records, Love Funk, 24 por 48, Cri",306.12224719101124
3440,UCr6fVIEnBf1aVZ8vXBgd88Q,CLASICOS CATOLICOS 🎵,13900,3167205,114,BR,,227.8564748201439
3510,UC3ogz8Vh26NfzYfQP_wo5JA,Resumo Hits by Resumo Produtora,9950,2862518,205,BR,Sejam Bem Vindos   Acompanhe todos os lançamentos do funk no canal Resumo Hits  Divulgue suas músicas conosco   11 98203-2934 WhatsApp ,287.6902512562814
3605,UCQiBi6tFum5i50Hm-SBfOzA,The TunesFace,5880,3825578,29,BR,"Um canal feito para quem sente o forró, vive o ritmo e se deixa levar pela emoção.   Cada seleção é pensada para criar conexão, trazer alegria, saudade e aquela energia única que só o forró tem — perfeito para ouvir em casa, na estrada, nas festas ou no dia a dia.  Se o forró faz parte da sua vida, este canal é pra você.  👉 Inscreva-se e sinta o forró tocar o coração. ",650.6085034013605
3696,UCvdph9T6hCfZ1x-SEjUxGlg,Flashback BR,2410,423787,10,BR,,175.84522821576763
3697,UCER3AVGNQ5-srZmxP28m0LQ,Sertanejo Oficial,2410,503475,17,BR,"Sertanejo Oficial – onde as memórias ganham vida em cada melodia. Canções clássicas do Sertanejo, simples, sinceras e cheias de emoção.  Aperte o play e curta! 🤠🎵 ",208.91078838174275
3711,UCzhH2nR9W2giAY331rL9dWw,Graça e Louvor,2010,332018,50,BR,"Graça e Louvor é um espaço de adoração onde a graça de Deus é revelada em cada canção. 🎶 Aqui,Adoração que toca a alma e revela a graça de Deus. celebramos o amor, a fé e a presença viva do Espírito Santo através de músicas que curam e renovam a alma.  🌿 Nosso propósito é levar esperança, paz e comunhão com Deus para cada coração.  🔔 Inscreva-se e adore conosco — porque onde há graça, há louvor!  ",165.1830845771144
3719,UC0_x_8L5LrZhMw_G9GQgB-g,Melodia da Alma,1880,271269,49,BR,"Bem-vindo ao Melodia da Alma – um canal dedicado à adoração cristã!  Reunimos corações de todas as nações para exaltar o nome de Jesus por meio de músicas worship, louvores profundos e momentos de fé. Uma só voz, um só coração, em muitas línguas, para glorificar a Deus. 🙏  ✨ Inscreva-se e ative o sininho para acompanhar nossos louvores, cultos online e músicas cristãs criadas para edificar sua fé.",144.29202127659573
